date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,5ema,10ema,22ema,66ema,264ema
2008-01-02,6152,1127000,42247750,38.2,38.6,36.5,36.5,-2.5,523,,,,,
2008-01-03,6152,629000,22022900,34.95,35.4,34.75,35.3,-1.2,314,,,,,
2008-01-04,6152,377000,13425850,35.3,36.1,35.0,35.1,-0.2,218,,,,,
2008-01-07,6152,270000,8909400,34.0,34.0,32.65,32.65,-2.45,155,,,,,
2008-01-08,6152,187000,6098650,32.65,33.2,31.55,32.1,-0.55,106,34.33,,,,
2008-01-09,6152,440000,13978150,31.15,32.7,30.9,32.4,0.3,233,33.68666666666667,,,,
2008-01-10,6152,364000,12065950,33.4,33.5,32.65,33.2,0.8,201,33.52444444444445,,,,
2008-01-11,6152,477000,16284850,33.9,34.6,33.6,33.9,0.7,285,33.64962962962963,,,,
2008-01-14,6152,258000,8605650,34.1,34.35,32.9,33.3,-0.6,123,33.53308641975308,,,,
2008-01-15,6152,311000,10538050,33.6,34.4,33.2,33.3,0.0,144,33.45539094650206,33.775,,,
2008-01-16,6152,174000,5669450,32.5,33.1,32.0,32.1,-1.2,105,33.003593964334705,33.470454545454544,,,
2008-01-17,6152,240000,7723650,32.1,32.8,32.1,32.15,0.05,113,32.7190626428898,33.23037190082645,,,
2008-01-18,6152,295000,9513750,32.0,34.3,31.4,34.3,2.15,135,33.246041761926534,33.42484973703982,,,
2008-01-21,6152,96000,3204350,33.6,33.8,33.05,33.05,-1.25,57,33.180694507951024,33.35669523939622,,,
2008-01-22,6152,568000,17549500,30.8,31.75,30.75,30.75,-2.3,216,32.370463005300685,32.88275065041508,,,
2008-01-23,6152,559000,16489350,30.75,31.35,28.6,28.6,-2.15,224,31.11364200353379,32.10406871397598,,,
2008-01-24,6152,781000,21597700,28.8,29.25,26.6,27.05,-1.55,277,29.759094669022527,31.18514712961671,,,
2008-01-25,6152,234000,6681450,27.5,28.9,27.5,28.9,1.85,90,29.472729779348352,30.76966583332276,,,
2008-01-28,6152,458000,13432300,29.5,30.0,29.0,29.1,0.2,208,29.34848651956557,30.46609022726408,,,
2008-01-29,6152,246000,7219700,29.3,29.6,28.6,29.35,0.25,118,29.34899101304371,30.263164731397882,,,
2008-01-30,6152,282000,8440250,29.35,30.8,29.1,30.5,1.15,138,29.732660675362474,30.30622568932554,,,
2008-01-31,6152,194000,5700450,30.5,30.5,28.8,29.05,-1.45,80,29.505107116908317,30.07782101853908,31.938636363636363,,
2008-02-01,6152,168000,4938750,29.05,29.9,29.05,29.5,0.45,88,29.503404744605543,29.972762651531973,31.726581027667983,,
2008-02-12,6152,106000,3042750,29.5,29.5,28.45,28.45,-1.05,51,29.15226982973703,29.695896714889795,31.44166093830555,,
2008-02-13,6152,147000,4178550,28.45,29.0,28.3,28.3,-0.15,64,28.868179886491355,29.44209731218256,31.168473030626807,,
2008-02-14,6152,161000,4721300,28.5,29.6,28.5,29.6,1.3,85,29.11211992432757,29.47080689178573,31.03208407144187,,
2008-02-15,6152,181000,5299750,29.4,29.7,28.15,29.5,-0.1,100,29.241413282885045,29.47611472964287,30.89885936957736,,
2008-02-18,6152,254000,7573550,29.7,30.5,29.5,30.05,0.55,133,29.51094218859003,29.58045750607144,30.825045511353242,,
2008-02-19,6152,225000,6745500,30.05,30.3,29.5,30.3,0.25,92,29.77396145906002,29.71128341405845,30.77938937993122,,
2008-02-20,6152,174000,5176100,30.3,30.3,29.5,29.8,-0.5,84,29.78264097270668,29.727413702411457,30.694225086024158,,
2008-02-21,6152,706000,21400850,30.0,31.0,29.6,30.4,0.6,276,29.988427315137788,29.849702120154827,30.668640295935102,,
2008-02-22,6152,235000,7011600,30.0,30.1,29.6,29.8,-0.6,102,29.92561821009186,29.84066537103577,30.59310635715814,,
2008-02-25,6152,358000,10722300,30.0,30.35,29.8,29.85,0.05,154,29.90041214006124,29.842362576301994,30.52848841305743,,
2008-02-26,6152,422000,12616650,30.0,30.1,29.5,29.55,-0.3,147,29.78360809337416,29.789205744247088,30.443402464095914,,
2008-02-27,6152,567000,17917200,31.6,31.6,31.6,31.6,2.05,164,30.38907206224944,30.11844106347489,30.543976162870184,,
2008-02-29,6152,2404000,81054650,33.8,33.8,33.15,33.8,2.2,789,31.526048041499624,30.787815415570364,30.82710867044669,,
2008-03-03,6152,968000,32688700,33.6,34.5,33.0,34.3,0.5,528,32.450698694333084,31.426394430921206,31.12909922084263,,
2008-03-04,6152,847000,28669950,34.3,34.5,33.5,33.8,-0.5,430,32.90046579622206,31.857959079844623,31.361351462508487,,
2008-03-05,6152,770000,26117950,33.8,34.9,33.05,33.5,-0.3,364,33.1003105308147,32.15651197441833,31.547320900551227,,
2008-03-06,6152,679000,22998450,33.6,34.4,33.4,34.25,0.75,339,33.48354035387647,32.53714616088772,31.782336474416336,,
2008-03-07,6152,328000,10997000,33.8,34.0,33.2,33.5,-0.75,192,33.489026902584314,32.712210495271776,31.931698520119262,,
2008-03-10,6152,484000,15634050,33.0,33.0,31.65,31.8,-1.7,256,32.92601793505621,32.546354041586,31.9202464748915,,
2008-03-11,6152,286000,8854750,30.6,31.4,30.1,31.35,-0.45,148,32.40067862337081,32.328835124934,31.870659824900933,,
2008-03-12,6152,442000,13839050,31.5,32.4,30.2,30.35,-1.0,254,31.717119082247205,31.969046920400547,31.738428535779114,,
2008-03-13,6152,356000,10830100,30.3,30.8,30.2,30.3,-0.05,189,31.24474605483147,31.665583843964086,31.613347793537454,,
2008-03-14,6152,307000,9308600,30.3,30.6,30.1,30.3,0.0,158,30.92983070322098,31.417295872334254,31.499143637577674,,
2008-03-17,6152,712000,20332450,29.5,29.5,28.2,29.1,-1.2,273,30.319887135480652,30.995969350091663,31.290522451701356,,
