date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,5ema,10ema,22ema,66ema
2023-05-15,6846,749000,72410900,96.5,99.4,94.8,94.8,26.8,550,,,,
2023-05-16,6846,559000,50987700,94.3,94.3,90.0,90.4,-4.4,440,,,,
2023-05-17,6846,308000,28274800,90.5,93.5,88.5,92.4,2.0,239,,,,
2023-05-18,6846,295000,27647300,93.0,95.3,92.6,95.2,2.8,248,,,,
2023-05-19,6846,241000,23025300,96.0,97.4,94.6,95.2,0.0,194,93.6,,,
2023-05-22,6846,163000,15226700,94.6,95.1,92.4,93.3,-1.9,132,93.5,,,
2023-05-23,6846,130000,12157400,93.3,94.5,92.4,93.8,0.5,114,93.6,,,
2023-05-24,6846,92000,8543400,93.2,93.2,92.4,92.9,-0.9,77,93.36666666666666,,,
2023-05-25,6846,83000,7634200,92.1,92.6,91.5,92.6,-0.3,71,93.1111111111111,,,
2023-05-26,6846,64000,5923600,92.5,93.0,92.3,92.4,-0.2,48,92.87407407407407,93.29999999999998,,
2023-05-29,6846,59000,5476700,92.0,93.7,92.0,93.5,1.1,52,93.08271604938271,93.33636363636363,,
2023-05-30,6846,60000,5518400,93.5,93.5,91.1,91.1,-2.4,52,92.42181069958848,92.9297520661157,,
2023-05-31,6846,35000,3202500,91.6,92.0,90.7,91.7,0.6,33,92.18120713305899,92.70616078136739,,
2023-06-01,6846,23000,2108000,91.1,92.2,91.1,92.2,0.5,19,92.18747142203932,92.6141315483915,,
2023-06-02,6846,76000,6933300,92.0,92.0,91.0,91.1,-1.1,61,91.82498094802621,92.33883490322941,,
2023-06-05,6846,28000,2566200,91.1,92.0,91.1,91.6,0.5,25,91.74998729868413,92.20450128446042,,
2023-06-06,6846,41000,3765100,92.3,92.3,91.0,91.0,-0.6,29,91.4999915324561,91.98550105092217,,
2023-06-07,6846,20000,1820700,90.6,91.8,90.6,90.9,-0.1,20,91.29999435497074,91.78813722348177,,
2023-06-08,6846,142000,12574200,90.7,90.7,87.8,88.0,-2.9,118,90.19999623664715,91.09938500103054,,
2023-06-09,6846,106000,9203100,88.2,88.2,86.0,86.2,-1.8,88,88.86666415776477,90.2085877281159,,
2023-06-12,6846,211000,17646700,85.7,86.0,81.6,81.6,-4.6,179,86.44444277184319,88.64338995936755,,
2023-06-13,6846,80000,6646500,82.3,83.5,82.2,83.2,1.6,75,85.36296184789546,87.65368269402799,91.14090909090909,
2023-06-14,6846,44000,3708900,83.6,84.9,83.6,84.2,1.0,37,84.97530789859698,87.0257403860229,90.53735177865613,
2023-06-15,6846,32000,2671300,84.2,84.4,83.0,83.0,-1.2,30,84.31687193239799,86.2937875885642,89.88192988485994,
2023-06-16,6846,37000,3049700,83.0,83.0,81.8,82.6,-0.4,32,83.74458128826532,85.62218984518888,89.24871859052429,
2023-06-19,6846,53000,4342300,82.6,83.3,81.6,82.7,0.1,46,83.39638752551022,85.09088260060909,88.67926480004392,
2023-06-20,6846,24000,1978800,82.0,83.0,81.9,83.0,0.3,21,83.26425835034014,84.71072212777108,88.18541568699662,
2023-06-21,6846,14000,1150400,82.0,82.9,82.0,82.3,-0.7,14,82.94283890022676,84.27240901363088,87.67364040986648,
2023-06-26,6846,35000,2833100,81.6,81.9,80.5,81.0,-1.3,32,82.2952259334845,83.67742555660708,87.09332385248679,
2023-06-27,6846,26000,2106800,81.0,81.7,80.8,81.2,0.2,21,81.930150622323,83.22698454631488,86.58086090879229,
2023-06-28,6846,250000,21993100,81.5,89.3,81.5,89.3,8.1,216,84.38676708154867,84.33116917425762,86.81730778628861,
2023-06-29,6846,212000,18886000,90.7,90.7,87.5,88.8,-0.5,183,85.85784472103245,85.14368386984715,86.9897158048722,
2023-06-30,6846,70000,6224200,89.0,89.6,88.4,88.5,-0.3,62,86.73856314735497,85.75392316623858,87.1210448653181,
2023-07-03,6846,65000,5698200,88.5,88.5,87.3,87.7,-0.8,57,87.05904209823665,86.10775531783156,87.17138879007305,
2023-07-04,6846,30000,2608600,87.3,87.3,86.8,87.0,-0.7,25,87.03936139882443,86.26998162368037,87.15648541702322,
2023-07-05,6846,17000,1479300,86.9,87.3,86.8,87.3,0.3,16,87.12624093254962,86.45725769210212,87.16896494597772,
2023-07-06,6846,30000,2598100,87.0,87.0,86.1,86.7,-0.6,19,86.98416062169974,86.50139265717446,87.12818538545793,
2023-07-07,6846,222000,19965800,85.9,91.8,85.3,89.0,2.3,155,87.65610708113316,86.95568490132456,87.29095187367898,
2023-07-10,6846,151000,13328500,90.0,90.8,86.1,87.0,-2.0,133,87.43740472075544,86.96374219199282,87.26565171075038,
2023-07-11,6846,26000,2282600,87.2,88.5,87.2,87.8,0.8,26,87.55826981383696,87.11578906617595,87.31211677938077,
2023-07-12,6846,33000,2877000,87.9,87.9,86.7,86.7,-1.1,28,87.27217987589131,87.04019105414396,87.25888923334766,
2023-07-13,6846,34000,2962100,86.2,87.7,86.2,87.2,0.5,28,87.24811991726088,87.06924722611778,87.25376843044786,
2023-07-14,6846,19000,1653800,87.2,87.3,86.9,87.0,-0.2,19,87.16541327817392,87.05665682136909,87.23170161040892,
2023-07-17,6846,57000,4980700,87.0,88.3,87.0,87.0,0.0,46,87.11027551878261,87.04635558112017,87.21155364428641,
2023-07-18,6846,14000,1216900,87.0,87.0,86.7,86.7,-0.3,13,86.97351701252174,86.98338183909831,87.1670707186963,
2023-07-19,6846,25000,2185600,86.9,88.0,86.8,88.0,1.3,24,87.31567800834783,87.1682215047168,87.23949935185314,
2023-07-20,6846,65000,5812500,88.0,90.0,88.0,89.0,1.0,59,87.87711867223189,87.50127214022284,87.39258636473548,
