date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2012-01-10,4728,4811000,145535100,26.5,33.0,26.5,33.0,12.0,3041
2012-01-11,4728,4090000,142189800,33.0,37.0,33.0,35.2,2.2,2016
2012-01-12,4728,2904000,96220900,36.0,36.0,31.4,32.0,-3.2,1699
2012-01-13,4728,1537000,50264050,32.5,33.05,32.0,32.85,0.85,991
2012-01-16,4728,1017000,32992500,33.2,33.5,32.0,32.0,-0.85,627
2012-01-17,4728,963000,32705050,33.0,34.2,32.6,34.2,2.2,402
2012-01-18,4728,3285000,118102450,36.55,36.55,35.0,35.9,1.7,1664
2012-01-30,4728,3333000,125951150,37.9,38.4,36.15,38.4,2.5,1604
2012-01-31,4728,2997000,116036200,38.2,39.8,37.4,38.9,0.5,1656
2012-02-01,4728,3663000,146804400,39.5,41.5,38.9,39.1,0.2,1901
2012-02-02,4728,2728000,106295700,39.1,40.3,38.2,38.55,-0.55,1487
2012-02-03,4728,2275000,89883750,38.8,40.35,37.85,40.15,1.6,1245
2012-02-04,4728,1626000,64333700,40.35,40.6,39.0,39.0,-1.15,951
2012-02-06,4728,1656000,65674300,38.6,40.3,38.6,39.25,0.25,873
2012-02-07,4728,3326000,135630750,39.3,41.95,39.3,41.95,2.7,1481
2012-02-08,4728,1701000,75131900,43.1,44.85,43.0,44.85,2.9,564
2012-02-09,4728,6394000,296911950,46.75,47.95,44.85,46.0,1.15,3240
2012-02-10,4728,2463000,109086650,45.4,45.95,43.0,44.55,-1.45,1568
2012-02-13,4728,2765000,128750650,44.95,47.65,44.1,47.65,3.1,1672
2012-02-14,4728,3541000,169281550,48.1,49.6,46.0,48.0,0.35,2107
2012-02-15,4728,2212000,105145350,46.6,48.9,46.6,47.0,-1.0,1347
2012-02-16,4728,2468000,114264250,47.0,48.4,43.8,43.85,-3.15,1602
2012-02-17,4728,2706000,122689350,46.4,46.5,43.9,45.5,1.65,1614
2012-02-20,4728,1744000,77675050,45.5,45.5,43.8,44.8,-0.7,1082
2012-02-21,4728,1105000,49506500,45.0,45.4,44.1,45.1,0.3,758
2012-02-22,4728,1169000,52530100,45.5,45.8,44.45,44.6,-0.5,726
2012-02-23,4728,2290000,105283900,44.6,47.0,44.6,46.1,1.5,1417
2012-02-24,4728,1257000,57094000,46.9,46.9,44.8,45.0,-1.1,795
2012-02-29,4728,2026000,93797700,45.8,46.8,45.5,46.3,1.3,1175
2012-03-01,4728,1349000,62581950,46.9,47.3,45.7,45.9,-0.4,864
2012-03-02,4728,1391000,64783100,46.4,47.3,45.9,46.7,0.8,889
2012-03-03,4728,754000,34821750,46.7,46.95,45.9,46.05,-0.65,516
2012-03-05,4728,933000,42583900,46.3,46.8,44.8,44.85,-1.2,653
2012-03-06,4728,2148000,90385700,44.85,45.1,41.75,42.1,-2.75,1271
2012-03-07,4728,995000,40678000,40.5,42.1,39.85,40.65,-1.45,671
2012-03-08,4728,652000,27034050,41.0,41.9,40.8,41.7,1.05,460
2012-03-09,4728,669000,27831750,41.75,42.0,41.25,41.3,-0.4,445
2012-03-12,4728,824000,33072300,41.3,41.3,39.4,39.4,-1.9,568
