date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,5ema,10ema,22ema,66ema,264ema
2016-09-29,4754,1664000,105011800,55.0,72.0,55.0,66.0,33.0,1235,,,,,
2016-09-30,4754,884000,55999300,61.2,67.2,61.0,63.0,-3.0,625,,,,,
2016-10-03,4754,721000,47042800,64.5,67.0,63.5,64.0,1.0,545,,,,,
2016-10-04,4754,553000,33323700,64.0,64.0,58.0,59.0,-5.0,420,,,,,
2016-10-05,4754,360000,20769100,58.5,59.0,56.9,57.0,-2.0,264,61.8,,,,
2016-10-06,4754,420000,24522600,57.9,61.2,56.0,60.0,3.0,341,61.199999999999996,,,,
2016-10-07,4754,1249000,80298300,60.5,66.0,58.1,66.0,6.0,724,62.8,,,,
2016-10-11,4754,1412000,94646900,69.0,69.7,63.5,66.3,0.3,935,63.96666666666666,,,,
2016-10-12,4754,425000,26788800,66.0,66.0,61.5,62.5,-3.8,333,63.477777777777774,,,,
2016-10-13,4754,607000,39345600,61.5,66.6,61.5,64.3,1.8,461,63.751851851851846,62.80999999999999,,,
2016-10-14,4754,453000,28009500,64.9,64.9,60.2,61.1,-3.2,375,62.867901234567896,62.4990909090909,,,
2016-10-17,4754,173000,10416400,59.3,61.6,59.2,61.0,-0.1,146,62.24526748971193,62.22652892561983,,,
2016-10-18,4754,236000,14061000,60.5,61.5,58.1,58.9,-2.1,185,61.13017832647462,61.621705484598046,,,
2016-10-19,4754,210000,12416300,59.1,60.3,58.1,58.5,-0.4,166,60.253452217649745,61.05412266921658,,,
2016-10-20,4754,223000,13386800,58.5,62.0,58.5,60.7,2.2,177,60.402301478433166,60.989736729359024,,,
2016-10-21,4754,147000,8762200,60.0,60.5,59.2,59.9,-0.8,118,60.23486765228878,60.79160277856647,,,
2016-10-24,4754,111000,6585300,60.0,60.2,58.9,58.9,-1.0,89,59.78991176819252,60.4476750006453,,,
2016-10-25,4754,135000,7906500,58.3,59.2,58.2,58.2,-0.7,90,59.25994117879501,60.03900681870979,,,
2016-10-26,4754,80000,4685600,58.2,59.3,58.0,59.0,0.8,73,59.173294119196676,59.85009648803528,,,
2016-10-27,4754,149000,8599700,59.2,59.2,57.0,57.0,-2.0,129,58.44886274613112,59.33189712657432,,,
2016-10-28,4754,84000,4746600,57.0,57.0,56.0,56.6,-0.4,73,57.832575164087416,58.83518855810626,,,
2016-10-31,4754,54000,3002900,55.8,56.2,55.0,56.0,-0.6,46,57.22171677605828,58.31969972935967,60.631818181818176,,
2016-11-01,4754,151000,8270600,55.1,56.0,53.9,53.9,-2.1,112,56.11447785070552,57.51611796038518,60.04644268774703,,
2016-11-02,4754,99000,5219400,52.2,53.9,52.0,52.6,-1.3,84,54.94298523380368,56.62227833122424,59.398925932290766,,
2016-11-03,4754,134000,6723150,52.6,52.6,47.8,49.45,-3.15,103,53.11199015586912,55.3182277255471,58.53380193817853,,
2016-11-04,4754,66000,3240700,49.35,50.5,48.0,49.2,-0.25,50,51.80799343724608,54.20582268453854,57.722166987032566,,
2016-11-07,4754,115000,5915500,50.9,52.3,50.0,51.2,2.0,94,51.60532895816406,53.659309469167894,57.15502203163843,,
2016-11-08,4754,95000,4884200,51.2,52.3,50.5,52.2,1.0,77,51.80355263877604,53.393980474773734,56.72415055062639,,
2016-11-09,4754,122000,6234200,52.5,52.9,49.0,49.9,-2.3,84,51.16903509251736,52.75871129754215,56.13074615491975,,
2016-11-10,4754,77000,3993900,50.7,52.5,50.7,52.0,2.1,58,51.44602339501157,52.620763788898124,55.77155083710064,,
2016-11-11,4754,66000,3418300,52.0,52.7,51.2,52.7,0.7,41,51.864015596674385,52.63517037273483,55.50445945996145,,
2016-11-14,4754,51000,2707300,53.5,53.5,52.5,53.1,0.4,45,52.276010397782926,52.719684850419405,55.295376028660456,,
2016-11-15,4754,27000,1414700,52.1,53.0,52.0,52.5,-0.6,19,52.35067359852195,52.67974215034315,55.052299852255196,,
2016-11-16,4754,37000,1916000,52.5,52.5,51.4,52.3,-0.2,26,52.33378239901463,52.610698123008035,54.81296943031996,,
2016-11-17,4754,28000,1450100,51.8,52.9,51.0,52.5,0.2,19,52.389188266009754,52.59057119155203,54.6118416537704,,
2016-11-18,4754,49000,2543700,52.0,52.5,51.0,52.3,-0.2,38,52.359458844006504,52.5377400658153,54.41081194474688,,
2016-11-21,4754,288000,16286700,53.0,57.5,53.0,57.5,5.2,210,54.072972562671005,53.439969144757974,54.67943699302976,,
2016-11-22,4754,310000,17826300,56.5,59.0,56.2,58.8,1.3,248,55.648648375114,54.41452020934743,55.03774681972283,,
2016-11-23,4754,105000,6000800,59.0,59.0,56.6,56.6,-2.2,98,55.965765583409336,54.81188017128426,55.173594922355626,,
2016-11-24,4754,54000,3088200,56.6,58.0,55.9,56.6,0.0,50,56.17717705560622,55.13699286741439,55.29763014649861,,
2016-11-25,4754,30000,1708700,57.0,57.4,56.6,56.6,0.0,27,56.31811803707082,55.40299416424814,55.41087969897699,,
2016-11-28,4754,32000,1796600,57.1,57.1,56.0,56.0,-0.6,29,56.21207869138055,55.51154067983939,55.46210755123986,,
2016-11-29,4754,57000,3147900,55.5,55.6,54.9,54.9,-1.1,47,55.77471912758703,55.40035146532314,55.413228633740744,,
2016-11-30,4754,39000,2157800,54.9,55.8,54.5,55.8,0.9,35,55.78314608505802,55.47301483526439,55.44686092645894,,
2016-12-01,4754,40000,2248800,56.0,56.8,55.8,55.8,0.0,34,55.78876405670535,55.532466683398134,55.47756867198425,,
2016-12-02,4754,28000,1553000,55.8,55.8,55.0,55.1,-0.7,28,55.55917603780357,55.45383637732574,55.44473661355084,,
2016-12-05,4754,20000,1118300,55.1,56.6,55.1,55.8,0.7,20,55.639450691869044,55.51677521781197,55.47562908193772,,
2016-12-06,4754,33000,1853100,56.2,56.3,55.7,55.7,-0.1,22,55.65963379457936,55.55008881457343,55.49513959655183,,
2016-12-07,4754,41000,2290800,56.1,56.1,55.7,55.7,0.0,29,55.67308919638624,55.57734539374189,55.51295354467776,,
2016-12-08,4754,58000,3261800,56.9,56.9,55.7,55.8,0.1,42,55.71539279759083,55.617828049425185,55.53791410601013,,
2016-12-09,4754,32000,1776500,56.4,56.4,55.2,55.4,-0.4,32,55.61026186506055,55.578222949529696,55.52592157505273,,
2016-12-12,4754,74000,4052500,55.1,55.8,54.5,54.6,-0.8,52,55.273507910040365,55.400364231433386,55.44540665548293,,
2016-12-13,4754,36000,1964300,55.8,55.8,54.3,54.3,-0.3,30,54.94900527336024,55.200298007536404,55.34580607674528,,
2016-12-14,4754,95000,5105100,54.1,54.1,53.5,53.5,-0.8,58,54.4660035155735,54.89115291525706,55.185301200506565,,
2016-12-15,4754,36000,1926800,53.0,54.5,53.0,54.5,1.0,29,54.477335677049,54.82003420339214,55.125709791766866,,
2016-12-16,4754,38000,2046400,54.8,54.8,53.6,53.6,-0.9,34,54.184890451366,54.598209802775386,54.993039375091485,,
2016-12-19,4754,37000,1963900,53.5,53.5,52.3,52.6,-1.0,26,53.656593634244004,54.2348989295435,54.784948994648744,,
2016-12-20,4754,24000,1273800,53.5,53.5,52.8,53.0,0.4,17,53.437729089496,54.01037185144468,54.629736038592334,,
2016-12-21,4754,44000,2301500,52.5,53.0,52.0,52.5,-0.5,23,53.12515272633067,53.73575878754565,54.44454160045387,,
2016-12-22,4754,19000,997400,52.5,52.8,52.1,52.8,0.3,19,53.01676848422044,53.56562082617371,54.301537983023096,,
2016-12-23,4754,9000,470900,52.2,52.8,52.1,52.8,0.0,9,52.94451232281363,53.42641703959667,54.17096946276022,,
2016-12-26,4754,35000,1831100,52.4,53.2,52.0,53.2,0.4,26,53.029674881875756,53.38525030512455,54.086537335563676,,
2016-12-27,4754,27000,1425300,53.2,53.5,52.1,53.3,0.1,23,53.11978325458384,53.36975024964736,54.01814278464509,,
2016-12-28,4754,26000,1377600,52.8,53.5,52.8,53.4,0.1,21,53.21318883638922,53.37525020425693,53.964391238154214,,
2016-12-29,4754,38000,2013800,53.4,53.5,52.2,53.4,0.0,26,53.27545922425948,53.379750167119305,53.915313739184285,,
2016-12-30,4754,23000,1218900,52.9,53.3,52.8,53.2,-0.2,16,53.25030614950632,53.34706831855216,53.85311254447261,56.09924242424243,
2017-01-03,4754,60000,3154900,53.2,53.2,51.3,53.2,0.0,36,53.233537433004216,53.32032862426995,53.796320149301074,56.01269787426505,
2017-01-04,4754,29000,1527800,53.1,53.1,52.3,53.0,-0.2,23,53.15569162200281,53.262087056220864,53.727074918927066,55.92276659443624,
2017-01-05,4754,3000,159200,53.0,53.1,53.0,53.1,0.1,3,53.13712774800187,53.232616682362526,53.67254666510732,55.83850490505009,
2017-01-06,4754,26000,1370700,53.0,53.0,52.4,53.0,-0.1,18,53.09141849866791,53.190322740114794,53.61406434640234,55.7537734153471,
2017-01-09,4754,24000,1246000,52.1,53.0,51.0,52.7,-0.3,20,52.96094566577861,53.10117315100302,53.53458049019344,55.662615999963606,
2017-01-10,4754,57000,2930300,51.1,51.9,51.0,51.5,-1.2,36,52.47396377718574,52.81005075991156,53.35766044756792,55.53835880593484,
2017-01-11,4754,22000,1123000,51.1,51.1,51.0,51.0,-0.5,21,51.982642518123825,52.480950621745826,53.152646495605495,55.402885408742755,
2017-01-12,4754,48000,2415000,51.2,51.2,50.0,50.7,-0.3,33,51.55509501208255,52.15714141779204,52.939372887291974,55.26250076967581,
2017-01-13,4754,7000,351100,50.5,50.5,50.0,50.3,-0.4,6,51.13673000805503,51.81947934182985,52.7098622014405,55.11436641834221,
2017-01-16,4754,20000,997450,50.5,50.5,49.6,49.95,-0.35,16,50.741153338703356,51.479574006951694,52.469874183923935,54.960206226749904,
2017-01-17,4754,12000,597350,49.7,50.0,49.55,49.55,-0.4,11,50.34410222580224,51.128742369324115,52.215972080974026,54.79870753341409,
2017-01-18,4754,45000,2215250,49.1,49.65,49.0,49.3,-0.25,35,49.996068150534825,50.79624375671973,51.962409291324114,54.63456701002859,
2017-01-19,4754,8000,393100,49.0,49.3,49.0,49.3,0.0,8,49.76404543368988,50.52419943731614,51.73089543990463,54.47532620375908,
2017-01-20,4754,11000,550000,50.0,50.0,50.0,50.0,0.7,8,49.84269695579325,50.428890448713204,51.5803827929564,54.3417343767812,
2017-01-23,4754,49000,2420300,50.0,50.0,49.2,49.3,-0.7,19,49.66179797052883,50.22363763985626,51.38208863704715,54.191234843145935,
2017-01-24,4754,14000,692900,49.5,49.5,49.4,49.5,0.2,7,49.607865313685885,50.09206715988239,51.21842875556479,54.0511979821565,
2017-02-02,4754,26000,1269900,49.5,49.9,48.5,49.9,0.4,23,49.705243542457254,50.05714585808559,51.103782776820026,53.92728162448019,
2017-02-03,4754,10000,491700,49.2,49.5,48.7,49.5,-0.4,10,49.63682902830484,49.955846611160936,50.96432340492263,53.795123964047946,
2017-02-06,4754,22000,1083100,49.5,49.5,49.0,49.2,-0.3,16,49.491219352203224,49.81841995458622,50.81090397840762,53.65795608452412,
2017-02-07,4754,13000,642450,49.7,49.7,49.1,49.2,0.0,8,49.39414623480215,49.70597996284327,50.67082537158957,53.524882768568176,
2017-02-08,4754,16000,793300,49.5,49.7,49.5,49.7,0.5,13,49.4960974898681,49.70489269687177,50.58640577406005,53.41070716353629,
2017-02-09,4754,60000,3001600,49.6,50.9,49.5,50.5,0.8,34,49.83073165991207,49.8494576610769,50.57889222848961,53.3238203825352,
