date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,5ema,10ema,22ema
2023-11-02,6658,1108916,43536894,39.2,41.0,38.15,40.0,0.0,889,,,
2023-11-03,6658,486108,19245769,40.0,40.15,38.6,39.15,-0.85,409,,,
2023-11-06,6658,270875,10561905,39.15,39.5,38.6,39.0,-0.15,259,,,
2023-11-07,6658,144680,5640583,39.0,39.3,38.65,39.05,0.05,118,,,
2023-11-08,6658,165826,6474668,39.1,39.35,38.85,38.9,-0.15,141,39.22,,
2023-11-09,6658,145313,5622688,38.8,39.0,38.5,38.55,-0.35,134,38.99666666666666,,
2023-11-10,6658,112715,4316563,38.75,38.75,38.2,38.3,-0.25,123,38.76444444444444,,
2023-11-13,6658,166058,6199043,38.2,38.2,36.95,37.05,-1.25,160,38.19296296296296,,
2023-11-14,6658,97356,3580622,37.05,37.05,36.55,36.6,-0.45,107,37.66197530864197,,
2023-11-15,6658,71748,2664927,36.6,37.7,36.6,37.55,0.95,70,37.62465020576131,38.415000000000006,
2023-11-16,6658,234916,9095146,37.6,39.25,37.5,39.2,1.65,191,38.149766803840876,38.55772727272728,
2023-11-17,6658,131282,5100051,38.8,39.15,38.6,38.7,-0.5,122,38.33317786922725,38.58359504132232,
2023-11-20,6658,95304,3678894,38.7,39.0,38.3,38.65,-0.05,87,38.4387852461515,38.595668670172806,
2023-11-21,6658,69676,2674255,38.9,38.95,38.0,38.1,-0.55,68,38.32585683076766,38.50554709377775,
2023-11-22,6658,77901,3009715,38.5,38.85,38.4,38.85,0.75,59,38.50057122051177,38.56817489490907,
2023-11-23,6658,237470,9314810,38.85,39.5,38.85,39.3,0.45,164,38.76704748034118,38.7012340049256,
2023-11-24,6658,46300,1815620,39.3,39.45,39.0,39.3,0.0,38,38.94469832022745,38.81010054948458,
2023-11-27,6658,49161,1901124,39.3,39.3,38.35,38.35,-0.95,44,38.7464655468183,38.72644590412375,
2023-11-28,6658,52355,2005962,38.2,38.95,38.1,38.3,-0.05,45,38.597643697878866,38.64891028519216,
2023-11-29,6658,89151,3427667,38.4,39.1,38.15,38.25,-0.05,75,38.48176246525258,38.576381142429945,
2023-11-30,6658,71443,2779957,38.45,39.1,38.3,38.8,0.55,60,38.58784164350172,38.61703911653359,
2023-12-01,6658,74347,2865699,38.8,38.8,38.4,38.4,-0.4,61,38.52522776233448,38.57757745898203,38.56136363636363
2023-12-04,6658,54079,2102597,38.45,39.3,38.45,39.1,0.7,57,38.716818508222985,38.67256337553075,38.608201581027664
2023-12-05,6658,77730,3012994,39.1,39.1,38.5,38.65,-0.45,56,38.69454567214866,38.66846094361607,38.611836226155695
2023-12-06,6658,39860,1544054,39.0,39.0,38.6,38.65,0.0,38,38.67969711476577,38.66510440841315,38.61515481518563
2023-12-07,6658,92214,3597280,38.95,39.35,38.7,38.75,0.1,59,38.70313140984385,38.68053997051985,38.62688048343036
2023-12-08,6658,175865,6898676,39.45,39.7,38.7,39.15,0.4,112,38.85208760656256,38.765896339516246,38.672369137045116
2023-12-11,6658,64610,2518192,39.15,39.15,38.85,39.15,0.0,52,38.95139173770838,38.83573336869511,38.713902255562935
2023-12-12,6658,197610,7815090,39.2,39.85,39.2,39.5,0.35,120,39.13426115847225,38.956509119841456,38.78225858116616
2023-12-13,6658,477623,20405311,39.85,43.45,39.85,43.45,3.95,302,40.572840772314834,39.77350746168847,39.188149139325624
2023-12-14,6658,503538,23637331,45.45,47.75,45.0,47.75,4.3,345,42.96522718154322,41.22377883229056,39.93265790981905
2023-12-15,6658,990202,46877892,47.65,50.4,44.4,46.1,-1.65,706,44.010151454362145,42.110364499146826,40.46894852635652
2023-12-18,6658,341260,15376254,46.0,46.9,44.15,46.1,0.0,300,44.70676763624143,42.835752772029224,40.958605176238564
2023-12-19,6658,307739,13464016,45.15,45.2,43.0,43.0,-3.1,228,44.13784509082762,42.865615904387546,41.13611776960912
2023-12-20,6658,658704,30859334,43.0,47.3,43.0,47.3,4.3,486,45.19189672721841,43.67186755813526,41.672107528773545
2023-12-21,6658,280137,12874628,45.4,46.8,45.3,45.65,-1.65,234,45.34459781814561,44.03152800211067,42.01801122192367
2023-12-22,6658,145062,6621955,45.5,46.45,45.0,45.5,-0.15,127,45.39639854543041,44.29852291081782,42.320792854799876
2023-12-25,6658,111770,5015106,45.25,46.15,44.1,44.2,-1.3,110,44.99759903028694,44.28060965430549,42.4842021717738
2023-12-26,6658,68099,3009593,44.2,44.5,44.0,44.3,0.1,64,44.76506602019129,44.28413517170449,42.64209763509782
2023-12-27,6658,87410,3853207,44.7,44.7,43.9,44.0,-0.3,84,44.51004401346086,44.23247423139458,42.76017610161105
2023-12-28,6658,144483,6258549,43.8,43.8,42.8,43.0,-1.0,122,44.00669600897391,44.00838800750466,42.78103035364487
2023-12-29,6658,47591,2065357,43.5,43.85,43.15,43.25,0.25,51,43.754464005982605,43.87049927886745,42.82181032289314
2024-01-02,6658,60010,2600382,43.8,43.8,42.95,43.25,0.0,38,43.58630933732174,43.75768122816427,42.85904420785896
2024-01-03,6658,104225,4457446,42.9,43.0,42.6,42.6,-0.65,94,43.25753955821449,43.5471937321344,42.83651862456687
2024-01-04,6658,17045,727301,42.25,43.15,42.25,42.6,0.0,17,43.038359705476324,43.37497668992815,42.81595178764801
2024-01-05,6658,25119,1067967,42.9,43.15,42.35,42.35,-0.25,31,42.80890647031755,43.18861729175939,42.77543424089601
2024-01-08,6658,380356,17473566,43.65,46.55,43.65,46.3,3.95,358,43.972604313545034,43.75432323871223,43.081918219948534
2024-01-09,6658,211498,9463032,45.0,46.2,44.1,44.35,-1.95,191,44.09840287569669,43.86262810440092,43.192186200822576
