date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,5ema,10ema,22ema,66ema
2022-12-29,6708,1456000,89922900,62.5,65.0,59.3,61.9,33.9,1090,,,,
2022-12-30,6708,1266000,78648600,61.6,64.4,59.8,63.1,1.2,790,,,,
2023-01-03,6708,835000,52555600,63.1,63.5,62.5,62.5,-0.6,582,,,,
2023-01-04,6708,739000,46806900,63.0,64.3,62.5,63.3,0.8,501,,,,
2023-01-05,6708,578000,35481800,63.3,63.3,59.9,60.5,-2.8,459,62.260000000000005,,,
2023-01-06,6708,643000,37114900,59.0,59.7,56.5,56.6,-3.9,482,60.373333333333335,,,
2023-01-09,6708,334000,18729500,56.6,57.5,55.1,57.1,0.5,245,59.282222222222224,,,
2023-01-10,6708,251000,14011300,56.0,57.1,55.1,55.2,-1.9,203,57.921481481481486,,,
2023-01-11,6708,266000,14302600,54.8,54.8,53.1,53.1,-2.1,219,56.31432098765433,,,
2023-01-12,6708,535000,29644900,53.1,58.0,52.2,56.7,3.6,360,56.442880658436216,59.000000000000014,,
2023-01-13,6708,293000,16269600,56.7,56.7,54.2,54.7,-2.0,224,55.861920438957476,58.21818181818183,,
2023-01-16,6708,329000,18513500,55.4,57.4,54.7,56.4,1.7,263,56.04128029263832,57.887603305785134,,
2023-01-17,6708,593000,34912500,56.0,61.5,56.0,59.9,3.5,444,57.32752019509221,58.2534936138242,,
2023-01-30,6708,619000,37382700,61.0,61.9,59.1,60.8,0.9,464,58.48501346339481,58.71649477494707,,
2023-01-31,6708,364000,22086400,60.7,61.3,60.2,60.8,0.0,284,59.256675642263204,59.09531390677488,,
2023-02-01,6708,353000,21714300,61.3,62.4,60.9,61.5,0.7,277,60.00445042817547,59.532529560088534,,
2023-02-02,6708,320000,19678500,61.5,62.2,60.8,61.7,0.2,236,60.56963361878365,59.926615094617894,,
2023-02-03,6708,175000,10704200,62.0,62.0,60.7,60.7,-1.0,134,60.6130890791891,60.06723053196009,,
2023-02-06,6708,201000,11807700,57.5,59.8,57.5,59.0,-1.7,158,60.0753927194594,59.873188617058254,,
2023-02-07,6708,259000,15851200,59.2,62.1,59.0,61.3,2.3,191,60.483595146306264,60.13260886850221,,
2023-02-08,6708,259000,15873600,61.3,61.8,60.6,60.9,-0.4,195,60.622396764204176,60.27213452877454,,
2023-02-09,6708,909000,58590900,61.0,66.9,60.4,65.0,4.1,661,62.081597842802786,61.13174643263371,59.66818181818182,
